id,match_id,display_name,device_token,has_completed_session,joined_at,has_left
036530a2-4609-4f94-af08-c493566c98f1,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,A,dev_l4pldalvdt,false,2026-09-15 18:12:05.272147+00,false
068f5a6c-3f7f-4bb4-8237-7da7a3c4097b,bc52c02f-c108-46d4-b4b3-5d895228e21a,A,dev_rg5x30frz1,false,2026-09-15 17:30:07.158199+00,true
08d8c459-a697-4d19-bd36-6fb5c57f947d,8c94b08a-6f86-4e05-816f-78fe60450f4b,Swayam,dev_f74mffohq1,false,2026-09-16 08:20:06.756352+00,false
09ab726a-b749-42b1-b54c-db394f500dda,8203b2f9-5954-4281-ac8a-c3a4014c0314,Kaju katli,dev_mbddusq8fp,false,2026-09-16 10:26:35.199465+00,false
0bf4019d-3d8f-48fc-a6a5-2630c94bce00,bc52c02f-c108-46d4-b4b3-5d895228e21a,Rex,dev_lx6wsly1vx,false,2026-09-15 17:28:04.580418+00,true
0c341f78-64c5-4249-91e6-fa467fdc3908,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,Moryaa,dev_ym0dviepgb,false,2026-09-15 18:12:11.357433+00,false
0f47e77e-3ae0-49b1-a483-29f02ba9ec18,8203b2f9-5954-4281-ac8a-c3a4014c0314,Pradip,dev_maa8blrilx,false,2026-09-16 10:23:36.21617+00,true
0f573e4f-c8c8-4a18-bfaf-f17235dc448c,4e72a59c-7f70-498a-9b1e-bf1fdc8ca57a,nakichet,dev_r2j6k6vbja,false,2026-09-15 16:54:45.256352+00,true
0fb7cef2-63e6-4d7b-a22a-4bf684a3a195,264bc89b-c05e-418b-8581-e7ef030090b9,Master Bruice,dev_q0bhpm9hgr,false,2026-09-15 17:59:32.322869+00,true
126b991a-fe3b-4605-b4dc-d8244f570615,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,Harsh,dev_2mxsc6h5sc,false,2026-09-16 07:30:44.709219+00,false
139ea937-3fae-4041-bc8d-9afad6d73069,144cd33d-4b84-4fab-9d50-e39ca3e1821d,Safety First,dev_fnr1fgst4n,false,2026-09-16 11:48:00.692992+00,false
14ade3ad-a060-4528-962d-9ac680798dc1,bc52c02f-c108-46d4-b4b3-5d895228e21a,https://iae-squ,dev_fddifngd7v,false,2026-09-15 17:28:08.798076+00,true
165d6d71-f2d0-4a64-8590-e8c0f35022d4,00d28983-7122-4446-8521-20d968b095c2,Vik,dev_vlx3n7rg7t,false,2026-09-15 16:13:58.484531+00,true
16680d52-5f04-484d-90a7-edf5fde24d65,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,Deepak Ratnani,dev_0o7zw4vqrf,false,2026-09-16 07:30:11.020425+00,false
1777f439-c252-418f-9a87-772e9adcea94,bc52c02f-c108-46d4-b4b3-5d895228e21a,ET,dev_8fb5r19k33,false,2026-09-15 17:27:55.836682+00,true
1a343685-d27e-4332-a0e2-84ceb0924cb5,8c94b08a-6f86-4e05-816f-78fe60450f4b,Anshuman,dev_33027pv9ss,false,2026-09-16 08:19:58.41912+00,false
1a8f7e7e-a68e-42e6-8bc6-a219eaa73af9,9d097fb9-b5a4-49ea-9ac1-54fd1e169179,Nakli gopal,dev_lx6wsly1vx,false,2026-09-15 18:12:14.860364+00,false
1af4b67b-a028-48e5-92bf-9e02640ae117,37fe6f52-f258-4eea-b8e6-3a8b4ae4f9a1,Manish,dev_wgfpntxk7a,false,2026-09-16 07:32:37.303153+00,false
