id,round,question_type,prompt_text,real_image_url,ai_image_url,logo_url,options,correct_option,explanation,is_active,created_at
040bc733-e444-4d95-9a90-d44a953cf55c,1,image_comparison,"Which cat and dog photo is AI-generated?",/images/round1/q20_real.jpg,/images/round1/q20_ai.jpg,,,"ai","Fur blending between the two animals looks unnaturally smooth.",true,
0463a4a2-50f0-482f-971a-22e359942d64,1,image_comparison,"Which portrait photo is AI-generated?",/images/round1/q17_real.jpg,/images/round1/q17_ai.jpg,,,"ai","Skin texture and hair strand blending look artificially smooth.",true,
07d42e9c-d78c-4b1a-8f81-ba479bb64edd,1,image_comparison,"Which countryside path photo is AI-generated?",/images/round1/q09_real.jpg,/images/round1/q09_ai.jpg,,,"ai","Tree spacing and shadow direction are physically inconsistent.",true,
0d17802f-64cb-43d7-b801-c3d8b566da40,1,image_comparison,"Which bird photo is AI-generated?",/images/round1/q18_real.jpg,/images/round1/q18_ai.jpg,,,"ai","Feather detail and leg positioning look physically inconsistent.",true,
0f5f25a2-d54d-48fc-abfd-067fad2df7ff,1,image_comparison,"Which apartment building photo is AI-generated?",/images/round1/q03_real.jpg,/images/round1/q03_ai.jpg,,,"ai","Window patterns and balcony structures repeat unnaturally.",true,
1a13fa30-752c-44d6-9ad1-64b3898bd2a6,1,image_comparison,"Which ocean sunset photo is AI-generated?",/images/round1/q13_real.jpg,/images/round1/q13_ai.jpg,,,"ai","Wave reflections don't match the light source direction.",true,
3bba083c-ae4f-405b-8732-d904bae2f299,1,image_comparison,"Which version of the Mona Lisa is AI-generated?",/images/round1/q08_real.jpg,/images/round1/q08_ai.jpg,,,"ai","Brushstroke patterns and facial proportions are subtly altered.",true,
6748eac1-d121-4522-9897-6ac603ec771e,1,image_comparison,"Which bridge/tunnel photo is AI-generated?",/images/round1/q19_real.jpg,/images/round1/q19_ai.jpg,,,"ai","Structural symmetry and lighting look artificially perfect.",true,
76f59b49-2933-4d17-a018-ec3398e94698,1,image_comparison,"Which photo of Earth from space is AI-generated?",/images/round1/q07_real.jpg,/images/round1/q07_ai.jpg,,,"ai","Cloud formations and coastline details don't match real geography.",true,
85a0a9ff-0c61-4289-8dbb-e585861cabbf,1,image_comparison,"Which hibiscus flower photo is AI-generated?",/images/round1/q06_real.jpg,/images/round1/q06_ai.jpg,,,"ai","Petal edges show unnatural smoothing and color gradients.",true,
85cb4dbb-77e4-474d-90ad-5eeb69b04e48,1,image_comparison,"Which colorful door photo is AI-generated?",/images/round1/q02_real.jpg,/images/round1/q02_ai.jpg,,,"ai","Notice inconsistent wood grain texture and hardware details.",true,
870ead56-b92e-45fc-9bfb-c852f64088c9,1,image_comparison,"Which tiger photo is AI-generated?",/images/round1/q05_real.jpg,/images/round1/q05_ai.jpg,,,"ai","Stripe patterns are asymmetrical and don't align naturally.",true,
926918a8-aa91-45c5-a226-203c87dfd4c4,1,image_comparison,"Which photo of a person with a camera is AI-generated?",/images/round1/q01_real.jpg,/images/round1/q01_ai.jpg,,,"ai","Look closely at hand positioning and camera details for unnatural blending.",true,
9fff14db-911c-4ec5-abca-50f082cadfff,1,image_comparison,"Which close-up eye photo is AI-generated?",/images/round1/q15_real.jpg,/images/round1/q15_ai.jpg,,,"ai","Iris pattern and eyelash placement look artificially symmetrical.",true,
